LinkID,QueryCaseMasterID,CandidateCaseMasterID,OverallConfidence,NarrativeScore,SpatialScore,TemporalScore,SectionScore,OfficerDecision,ReviewedByOfficerID,Timestamp
1,1792,2823,0.8,1.0,1.0,1.0,0.0,CONFIRMED,IO_DEMO_01,2026-07-26T14:52:33.679506+00:00
2,1792,1381,0.75,1.0,1.0,0.0,0.5,REJECTED,IO_DEMO_01,2026-07-26T14:52:33.697431+00:00
3,1792,1617,0.73,1.0,1.0,0.3,0.0,Pending,,
4,1792,341,0.72,1.0,0.7,0.6,0.5,Pending,,
5,1792,541,0.71,1.0,0.7,0.0,1.0,Pending,,
6,1792,715,0.71,1.0,0.7,1.0,0.0,Pending,,
7,1792,2972,0.71,1.0,0.7,0.0,1.0,Pending,,
8,1792,2977,0.71,1.0,0.7,1.0,0.0,Pending,,
9,1792,263,0.7,1.0,1.0,0.0,0.0,Pending,,
10,1792,670,0.7,1.0,1.0,0.0,0.0,Pending,,
11,1792,878,0.7,1.0,1.0,0.0,0.0,Pending,,
12,1792,2963,0.7,1.0,1.0,0.0,0.0,Pending,,
13,1792,1286,0.69,1.0,0.7,0.3,0.5,Pending,,
14,1792,1302,0.69,1.0,0.7,0.3,0.5,Pending,,
15,1792,1666,0.69,1.0,0.7,0.3,0.5,Pending,,
16,1792,352,0.67,1.0,0.7,0.6,0.0,Pending,,
17,1792,567,0.67,1.0,0.7,0.6,0.0,Pending,,
18,1792,1198,0.67,1.0,0.7,0.6,0.0,Pending,,
19,1792,2145,0.665,1.0,0.35,0.6,1.0,Pending,,
20,1792,1179,0.66,1.0,0.7,0.0,0.5,Pending,,
21,1792,1587,0.66,1.0,0.7,0.0,0.5,Pending,,
22,1792,2585,0.66,1.0,0.7,0.0,0.5,Pending,,
23,1792,1304,0.65,1.0,1.0,0.0,1.0,Pending,,
24,1792,799,0.64,1.0,0.7,0.3,0.0,Pending,,
25,1792,1007,0.64,1.0,0.7,0.3,0.0,Pending,,
