MatchID,AccusedMasterID_A,AccusedMasterID_B,MatchConfidence,PhoneticScore,AgeDelta,SharedCaseContext,OfficerDecision,ReviewedByOfficerID,Timestamp
1,5276,5301,1.0,,,,CONFIRMED,IO_DEMO_01,2026-07-26T14:52:33.687779+00:00
2,5276,5302,1.0,,,,Possible,,
3,5268,5287,1.0,,,,Possible,,
4,5254,5317,1.0,,,,Possible,,
5,5249,5274,1.0,,,,Possible,,
6,5247,5276,1.0,,,,Possible,,
7,5247,5301,1.0,,,,Possible,,
8,5244,5264,1.0,,,,Possible,,
9,5243,5316,1.0,,,,Possible,,
10,5229,5296,1.0,,,,Possible,,
11,5226,5307,1.0,,,,Possible,,
12,5225,5253,1.0,,,,Possible,,
13,5222,5275,1.0,,,,Possible,,
14,5218,5233,1.0,,,,Possible,,
15,5216,5249,1.0,,,,Possible,,
16,5216,5274,1.0,,,,Possible,,
17,5213,5252,1.0,,,,Possible,,
18,5208,5279,1.0,,,,Possible,,
19,5206,5258,1.0,,,,Possible,,
20,5202,5224,1.0,,,,Possible,,
21,5202,5293,1.0,,,,Possible,,
22,5188,5268,1.0,,,,Possible,,
23,5188,5287,1.0,,,,Possible,,
24,5187,5213,1.0,,,,Possible,,
25,5187,5252,1.0,,,,Possible,,
26,5181,5213,1.0,,,,Possible,,
27,5181,5252,1.0,,,,Possible,,
28,5175,5184,1.0,,,,Possible,,
29,5172,5305,1.0,,,,Possible,,
30,5165,5315,1.0,,,,Possible,,
31,5163,5197,1.0,,,,Possible,,
32,5159,5174,1.0,,,,Possible,,
33,5158,5224,1.0,,,,Possible,,
34,5156,5290,1.0,,,,Possible,,
35,5151,5263,1.0,,,,Possible,,
36,5146,5196,1.0,,,,Possible,,
37,5144,5160,1.0,,,,Possible,,
38,5142,5303,1.0,,,,Possible,,
39,5140,5198,1.0,,,,Possible,,
40,5138,5270,1.0,,,,Possible,,
41,5136,5265,1.0,,,,Possible,,
42,5134,5289,1.0,,,,Possible,,
43,5131,5191,1.0,,,,Possible,,
44,5130,5259,1.0,,,,Possible,,
45,5129,5131,1.0,,,,Possible,,
46,5129,5191,1.0,,,,Possible,,
47,5128,5310,1.0,,,,Possible,,
48,5125,5222,1.0,,,,Possible,,
49,5125,5275,1.0,,,,Possible,,
50,5122,5159,1.0,,,,Possible,,
51,5122,5174,1.0,,,,Possible,,
52,5118,5231,1.0,,,,Possible,,
53,5116,5261,1.0,,,,Possible,,
54,5116,5282,1.0,,,,Possible,,
55,5115,5139,1.0,,,,Possible,,
56,5113,5146,1.0,,,,Possible,,
57,5113,5196,1.0,,,,Possible,,
58,5112,5158,1.0,,,,Possible,,
59,5109,5138,1.0,,,,Possible,,
60,5104,5127,1.0,,,,Possible,,
61,5099,5154,1.0,,,,Possible,,
62,5098,5127,1.0,,,,Possible,,
63,5097,5201,1.0,,,,Possible,,
64,5096,5311,1.0,,,,Possible,,
65,5093,5112,1.0,,,,Possible,,
66,5093,5158,1.0,,,,Possible,,
67,5093,5224,1.0,,,,Possible,,
68,5092,5103,1.0,,,,Possible,,
69,5087,5207,1.0,,,,Possible,,
70,5086,5167,1.0,,,,Possible,,
71,5085,5099,1.0,,,,Possible,,
72,5085,5154,1.0,,,,Possible,,
73,5085,5272,1.0,,,,Possible,,
74,5078,5164,1.0,,,,Possible,,
75,5076,5084,1.0,,,,Possible,,
76,5072,5243,1.0,,,,Possible,,
77,5072,5316,1.0,,,,Possible,,
78,5071,5242,1.0,,,,Possible,,
79,5066,5136,1.0,,,,Possible,,
80,5066,5265,1.0,,,,Possible,,
81,5064,5227,1.0,,,,Possible,,
82,5057,5071,1.0,,,,Possible,,
83,5057,5242,1.0,,,,Possible,,
84,5055,5185,1.0,,,,Possible,,
85,5054,5175,1.0,,,,Possible,,
86,5054,5184,1.0,,,,Possible,,
87,5052,5212,1.0,,,,Possible,,
88,5051,5156,1.0,,,,Possible,,
89,5051,5290,1.0,,,,Possible,,
90,5050,5119,1.0,,,,Possible,,
91,5049,5302,1.0,,,,Possible,,
92,5047,5277,1.0,,,,Possible,,
93,5046,5076,1.0,,,,Possible,,
94,5046,5084,1.0,,,,Possible,,
95,5045,5294,1.0,,,,Possible,,
96,5044,5214,1.0,,,,Possible,,
97,5041,5220,1.0,,,,Possible,,
98,5037,5220,1.0,,,,Possible,,
99,5036,5163,1.0,,,,Possible,,
100,5036,5197,1.0,,,,Possible,,
101,5033,5058,1.0,,,,Possible,,
102,5031,5192,1.0,,,,Possible,,
103,5029,5204,1.0,,,,Possible,,
104,5027,5165,1.0,,,,Possible,,
105,5027,5315,1.0,,,,Possible,,
106,5026,5169,1.0,,,,Possible,,
107,5024,5118,1.0,,,,Possible,,
108,5024,5231,1.0,,,,Possible,,
109,5023,5145,1.0,,,,Possible,,
110,5023,5291,1.0,,,,Possible,,
111,5022,5095,1.0,,,,Possible,,
112,5020,5125,1.0,,,,Possible,,
113,5020,5222,1.0,,,,Possible,,
114,5020,5275,1.0,,,,Possible,,
115,5018,5182,1.0,,,,Possible,,
116,5017,5116,1.0,,,,Possible,,
117,5017,5261,1.0,,,,Possible,,
118,5013,5150,1.0,,,,Possible,,
119,5011,5109,1.0,,,,Possible,,
120,5011,5138,1.0,,,,Possible,,
121,5010,5114,1.0,,,,Possible,,
122,5009,5100,1.0,,,,Possible,,
123,5008,5092,1.0,,,,Possible,,
124,5008,5103,1.0,,,,Possible,,
125,5007,5017,1.0,,,,Possible,,
126,5007,5116,1.0,,,,Possible,,
127,5007,5261,1.0,,,,Possible,,
128,5006,5093,1.0,,,,Possible,,
129,5006,5112,1.0,,,,Possible,,
130,5006,5158,1.0,,,,Possible,,
131,5006,5224,1.0,,,,Possible,,
132,5001,5173,1.0,,,,Possible,,
133,5000,5205,1.0,,,,Possible,,
134,4998,5134,1.0,,,,Possible,,
135,4998,5289,1.0,,,,Possible,,
136,4997,5115,1.0,,,,Possible,,
137,4997,5139,1.0,,,,Possible,,
138,4995,5030,1.0,,,,Possible,,
139,4993,5032,1.0,,,,Possible,,
140,4992,5236,1.0,,,,Possible,,
141,4989,5048,1.0,,,,Possible,,
142,4987,5128,1.0,,,,Possible,,
143,4987,5310,1.0,,,,Possible,,
144,4984,5046,1.0,,,,Possible,,
145,4984,5047,1.0,,,,Possible,,
146,4984,5084,1.0,,,,Possible,,
147,4984,5277,1.0,,,,Possible,,
148,4981,5133,1.0,,,,Possible,,
149,4979,5021,1.0,,,,Possible,,
150,4978,5226,1.0,,,,Possible,,
151,4978,5307,1.0,,,,Possible,,
152,4977,5147,1.0,,,,Possible,,
153,4976,5102,1.0,,,,Possible,,
154,4974,5029,1.0,,,,Possible,,
155,4974,5066,1.0,,,,Possible,,
156,4974,5204,1.0,,,,Possible,,
157,4973,5151,1.0,,,,Possible,,
158,4973,5263,1.0,,,,Possible,,
159,4972,5145,1.0,,,,Possible,,
160,4968,5001,1.0,,,,Possible,,
161,4967,5031,1.0,,,,Possible,,
162,4967,5192,1.0,,,,Possible,,
