CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,POCSO,392,1,1
1,IT_ACT,392,1,2
2,IPC,379,1,1
2,NDPS,392,1,2
2,NDPS,66C,1,3
3,POCSO,66C,1,1
3,POCSO,457,1,2
4,NDPS,457,1,1
4,IT_ACT,457,1,2
4,IT_ACT,457,1,3
5,IPC,302,1,1
5,IPC,457,1,2
6,IT_ACT,302,1,1
7,IPC,20,1,1
7,POCSO,66C,1,2
7,IPC,457,1,3
8,NDPS,302,1,1
8,POCSO,66C,1,2
9,NDPS,66C,1,1
10,NDPS,66D,1,1
10,IT_ACT,392,1,2
10,POCSO,66D,1,3
11,POCSO,66C,1,1
11,POCSO,457,1,2
11,IT_ACT,20,1,3
12,NDPS,66C,1,1
12,NDPS,66C,1,2
13,NDPS,457,1,1
14,NDPS,66D,1,1
14,POCSO,302,1,2
15,NDPS,66D,1,1
16,IPC,379,1,1
17,NDPS,379,1,1
17,IT_ACT,392,1,2
18,NDPS,66C,1,1
18,NDPS,66C,1,2
19,IT_ACT,457,1,1
19,IT_ACT,66D,1,2
19,POCSO,66D,1,3
20,IPC,20,1,1
20,POCSO,379,1,2
20,IPC,457,1,3
21,NDPS,302,1,1
22,NDPS,66C,1,1
22,IT_ACT,457,1,2
23,IPC,302,1,1
23,IPC,379,1,2
23,NDPS,66C,1,3
24,POCSO,302,1,1
24,NDPS,66D,1,2
25,NDPS,457,1,1
26,IT_ACT,66C,1,1
26,IT_ACT,20,1,2
27,NDPS,66C,1,1
27,NDPS,302,1,2
27,IT_ACT,20,1,3
28,POCSO,392,1,1
28,IT_ACT,20,1,2
28,IPC,66D,1,3
29,NDPS,379,1,1
29,IPC,379,1,2
29,IPC,457,1,3
30,IPC,302,1,1
30,IT_ACT,457,1,2
30,NDPS,66D,1,3
31,NDPS,66D,1,1
31,IT_ACT,457,1,2
32,NDPS,457,1,1
32,IPC,392,1,2
32,NDPS,379,1,3
33,NDPS,302,1,1
34,IT_ACT,66C,1,1
34,IT_ACT,379,1,2
35,NDPS,457,1,1
36,POCSO,457,1,1
37,NDPS,302,1,1
37,POCSO,392,1,2
38,NDPS,457,1,1
39,IPC,20,1,1
39,IPC,302,1,2
39,IPC,66D,1,3
40,IT_ACT,379,1,1
41,IPC,392,1,1
42,POCSO,457,1,1
42,NDPS,66C,1,2
42,IPC,457,1,3
43,IPC,20,1,1
43,NDPS,457,1,2
44,IPC,379,1,1
44,NDPS,302,1,2
44,POCSO,66D,1,3
45,POCSO,392,1,1
46,POCSO,457,1,1
46,NDPS,66C,1,2
47,POCSO,66C,1,1
48,IPC,457,1,1
48,POCSO,66C,1,2
49,IPC,302,1,1
49,IPC,20,1,2
49,IT_ACT,392,1,3
50,IT_ACT,457,1,1
51,POCSO,66D,1,1
51,NDPS,66C,1,2
51,NDPS,66C,1,3
52,POCSO,66D,1,1
53,NDPS,66D,1,1
54,POCSO,392,1,1
55,IPC,392,1,1
56,POCSO,392,1,1
57,IPC,302,1,1
57,NDPS,66D,1,2
58,NDPS,302,1,1
58,POCSO,66D,1,2
58,IT_ACT,66D,1,3
59,NDPS,457,1,1
60,NDPS,392,1,1
60,POCSO,457,1,2
60,NDPS,302,1,3
61,IT_ACT,392,1,1
61,IT_ACT,302,1,2
61,NDPS,457,1,3
62,IT_ACT,20,1,1
62,IPC,66C,1,2
63,IPC,457,1,1
63,NDPS,379,1,2
63,NDPS,302,1,3
64,IT_ACT,66D,1,1
65,IT_ACT,392,1,1
65,POCSO,66D,1,2
66,NDPS,66C,1,1
67,NDPS,457,1,1
67,NDPS,457,1,2
67,POCSO,379,1,3
68,IT_ACT,66C,1,1
68,POCSO,392,1,2
68,POCSO,302,1,3
69,IPC,379,1,1
70,IPC,379,1,1
71,NDPS,457,1,1
72,IT_ACT,302,1,1
73,NDPS,302,1,1
73,NDPS,457,1,2
73,IPC,66C,1,3
74,IPC,379,1,1
74,POCSO,302,1,2
74,NDPS,392,1,3
75,POCSO,302,1,1
75,POCSO,379,1,2
75,POCSO,66C,1,3
76,NDPS,379,1,1
77,IPC,457,1,1
78,NDPS,392,1,1
78,POCSO,392,1,2
79,IPC,66D,1,1
79,POCSO,457,1,2
79,POCSO,66D,1,3
80,IPC,66C,1,1
80,IPC,66C,1,2
80,POCSO,302,1,3
81,NDPS,392,1,1
82,NDPS,66D,1,1
83,POCSO,392,1,1
84,IT_ACT,392,1,1
