ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,2,2026-01-29 09:00:00,1,1005,3036,9394,4009,3,1,0
2,2,1,2026-01-24 14:00:00,1,1002,3013,9261,4005,4,1,0
3,3,2,2025-05-13 16:00:00,1,1003,3022,9136,4008,7,1,0
4,4,2,2025-11-23 12:00:00,1,1001,3008,9138,4009,8,1,0
5,5,2,2025-12-19 04:00:00,1,1002,3014,9280,4015,9,1,0
6,7,2,2025-05-19 01:00:00,1,1003,3018,9309,4005,12,1,0
7,8,1,2025-01-09 05:00:00,1,1002,3015,9079,4007,15,1,0
8,10,2,2026-03-21 09:00:00,1,1003,3017,9372,4012,18,1,0
9,11,1,2025-08-29 15:00:00,1,1001,3001,9215,4002,21,1,0
10,12,2,2025-12-12 13:00:00,1,1002,3014,9024,4005,23,1,0
11,13,2,2025-05-27 10:00:00,1,1003,3018,9086,4002,24,1,0
12,14,1,2026-03-07 14:00:00,1,1004,3026,9051,4013,26,1,0
13,15,1,2026-01-26 08:00:00,1,1004,3030,9205,4003,27,1,0
14,16,2,2025-09-14 11:00:00,1,1004,3025,9152,4005,30,1,0
15,17,2,2025-11-17 20:00:00,1,1002,3012,9343,4015,32,1,0
16,18,1,2025-01-23 16:00:00,1,1004,3031,9033,4004,34,1,0
17,22,1,2025-04-18 02:00:00,1,1004,3029,9202,4007,41,1,0
18,24,1,2026-03-12 01:00:00,1,1004,3032,9126,4014,43,1,0
19,25,2,2025-12-14 14:00:00,1,1001,3007,9067,4007,45,1,0
20,26,1,2025-06-20 06:00:00,1,1002,3010,9070,4008,48,1,0
21,27,2,2025-11-27 10:00:00,1,1005,3034,9192,4008,50,1,0
22,28,1,2025-08-20 05:00:00,1,1002,3010,9289,4006,52,1,0
23,30,2,2025-04-05 11:00:00,1,1004,3030,9125,4015,55,1,0
24,31,2,2025-06-20 07:00:00,1,1003,3024,9080,4011,56,1,0
25,32,2,2026-01-20 19:00:00,1,1002,3012,9132,4014,57,1,0
26,33,1,2025-12-02 19:00:00,1,1001,3003,9165,4010,60,1,0
27,34,2,2025-07-03 02:00:00,1,1003,3018,9255,4010,61,1,0
28,35,1,2025-05-03 22:00:00,1,1004,3032,9184,4013,63,1,0
29,39,1,2025-04-06 12:00:00,1,1003,3021,9110,4010,73,1,0
30,40,1,2025-06-18 14:00:00,1,1003,3020,9162,4003,76,1,0
31,41,2,2025-02-14 19:00:00,1,1001,3008,9028,4006,77,1,0
32,43,1,2025-08-19 19:00:00,1,1002,3009,9026,4006,81,1,0
33,48,2,2025-03-12 09:00:00,1,1001,3003,9144,4002,87,1,0
34,51,2,2025-11-15 07:00:00,1,1005,3035,9292,4005,91,1,0
35,52,2,2026-01-29 17:00:00,1,1005,3037,9296,4011,93,1,0
36,54,1,2026-01-07 13:00:00,1,1005,3035,9057,4008,97,1,0
37,56,2,2025-05-13 16:00:00,1,1004,3031,9092,4011,101,1,0
38,57,2,2025-09-04 10:00:00,1,1002,3014,9397,4007,104,1,0
39,59,1,2025-07-22 19:00:00,1,1001,3004,9341,4005,108,1,0
40,60,1,2025-05-01 11:00:00,1,1001,3005,9053,4004,109,1,0
41,61,1,2026-01-04 19:00:00,1,1004,3025,9198,4012,112,1,0
42,63,1,2026-01-15 03:00:00,1,1004,3028,9055,4013,117,1,0
43,64,2,2025-09-19 12:00:00,1,1001,3006,9362,4010,118,1,0
44,67,1,2025-05-24 01:00:00,1,1005,3039,9131,4004,122,1,0
45,69,2,2026-01-30 23:00:00,1,1001,3003,9316,4002,126,1,0
