CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,DistrictID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,110053036202600001,202600001,2026-01-29 09:00:00,9054,3036,1005,1,2,101,1002,1,4005,2026-01-28 10:00:00,2026-01-28 13:00:00,2026-01-29 09:00:00,13.03362,77.673397,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
2,110023013202600002,202600002,2026-01-24 14:00:00,9052,3013,1002,1,2,102,1004,3,4013,2026-01-22 17:00:00,2026-01-22 18:00:00,2026-01-24 14:00:00,12.841818,77.737255,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
3,110033022202500003,202500003,2025-05-13 16:00:00,9300,3022,1003,1,1,102,1004,3,4006,2025-05-12 09:00:00,2025-05-12 18:00:00,2025-05-13 16:00:00,13.023284,77.618887,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
4,110013008202500004,202500004,2025-11-23 12:00:00,9336,3008,1001,1,1,103,1005,3,4001,2025-11-21 23:00:00,2025-11-22 07:00:00,2025-11-23 12:00:00,13.088419,77.501033,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
5,110023014202500005,202500005,2025-12-19 04:00:00,9383,3014,1002,1,1,103,1005,2,4001,2025-12-18 01:00:00,2025-12-18 04:00:00,2025-12-19 04:00:00,12.997468,77.45233,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
6,110033018202500006,202500006,2025-07-06 21:00:00,9344,3018,1003,1,1,101,1001,2,4004,2025-07-05 16:00:00,2025-07-05 21:00:00,2025-07-06 21:00:00,12.860152,77.482753,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
7,110033018202500007,202500007,2025-05-19 01:00:00,9160,3018,1003,1,2,101,1002,3,4008,2025-05-18 06:00:00,2025-05-18 17:00:00,2025-05-19 01:00:00,13.022476,77.738108,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
8,110023015202500008,202500008,2025-01-09 05:00:00,9311,3015,1002,1,1,104,1007,3,4002,2025-01-09 00:00:00,2025-01-09 10:00:00,2025-01-09 05:00:00,12.826977,77.548406,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
9,110053040202500009,202500009,2025-01-04 08:00:00,9177,3040,1005,1,1,103,1006,1,4006,2025-01-03 16:00:00,2025-01-03 23:00:00,2025-01-04 08:00:00,12.955853,77.537643,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
10,110033017202600010,202600010,2026-03-21 09:00:00,9020,3017,1003,1,2,104,1007,3,4004,2026-03-19 19:00:00,2026-03-20 06:00:00,2026-03-21 09:00:00,13.082435,77.453962,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
11,110013001202500011,202500011,2025-08-29 15:00:00,9164,3001,1001,1,2,102,1004,1,4004,2025-08-28 06:00:00,2025-08-28 10:00:00,2025-08-29 15:00:00,12.889779,77.659106,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
12,110023014202500012,202500012,2025-12-12 13:00:00,9358,3014,1002,1,1,103,1006,3,4007,2025-12-11 05:00:00,2025-12-11 12:00:00,2025-12-12 13:00:00,12.905262,77.462399,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
13,110033018202500013,202500013,2025-05-27 10:00:00,9083,3018,1003,1,1,104,1007,3,4007,2025-05-26 12:00:00,2025-05-26 13:00:00,2025-05-27 10:00:00,13.025558,77.527431,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
14,110043026202600014,202600014,2026-03-07 14:00:00,9015,3026,1004,1,2,103,1006,1,4006,2026-03-06 03:00:00,2026-03-06 11:00:00,2026-03-07 14:00:00,13.067379,77.724602,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
15,110043030202600015,202600015,2026-01-26 08:00:00,9293,3030,1004,1,1,104,1007,1,4012,2026-01-25 00:00:00,2026-01-25 07:00:00,2026-01-26 08:00:00,13.057534,77.702524,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
16,110043025202500016,202500016,2025-09-14 11:00:00,9001,3025,1004,1,2,103,1005,2,4001,2025-09-13 16:00:00,2025-09-13 23:00:00,2025-09-14 11:00:00,12.98921,77.741148,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
17,110023012202500017,202500017,2025-11-17 20:00:00,9162,3012,1002,1,2,103,1005,2,4012,2025-11-16 10:00:00,2025-11-16 13:00:00,2025-11-17 20:00:00,13.084133,77.448079,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
18,110043031202500018,202500018,2025-01-23 16:00:00,9348,3031,1004,1,2,104,1007,3,4001,2025-01-22 17:00:00,2025-01-22 19:00:00,2025-01-23 16:00:00,12.907746,77.621261,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
19,110043026202500019,202500019,2025-09-04 02:00:00,9118,3026,1004,1,1,102,1003,2,4011,2025-09-02 11:00:00,2025-09-02 20:00:00,2025-09-04 02:00:00,12.901135,77.704043,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
20,110023015202500020,202500020,2025-07-22 01:00:00,9122,3015,1002,1,1,101,1001,2,4008,2025-07-20 17:00:00,2025-07-20 21:00:00,2025-07-22 01:00:00,12.882338,77.456582,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
21,110023015202500021,202500021,2025-07-10 14:00:00,9378,3015,1002,1,2,101,1002,3,4009,2025-07-10 07:00:00,2025-07-10 12:00:00,2025-07-10 14:00:00,13.019604,77.601572,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
22,110043029202500022,202500022,2025-04-18 02:00:00,9300,3029,1004,1,2,102,1003,1,4002,2025-04-17 07:00:00,2025-04-17 16:00:00,2025-04-18 02:00:00,12.97259,77.470509,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
23,110023014202500023,202500023,2025-12-15 04:00:00,9371,3014,1002,1,2,101,1001,1,4014,2025-12-13 04:00:00,2025-12-13 09:00:00,2025-12-15 04:00:00,13.027685,77.663931,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
24,110043032202600024,202600024,2026-03-12 01:00:00,9014,3032,1004,1,2,101,1001,2,4005,2026-03-11 07:00:00,2026-03-11 17:00:00,2026-03-12 01:00:00,12.867827,77.478189,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
25,110013007202500025,202500025,2025-12-14 14:00:00,9218,3007,1001,1,1,104,1007,2,4001,2025-12-13 21:00:00,2025-12-13 22:00:00,2025-12-14 14:00:00,13.069521,77.742686,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
26,110023010202500026,202500026,2025-06-20 06:00:00,9360,3010,1002,1,2,101,1002,3,4013,2025-06-19 11:00:00,2025-06-19 20:00:00,2025-06-20 06:00:00,12.887711,77.67912,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
27,110053034202500027,202500027,2025-11-27 10:00:00,9073,3034,1005,1,1,101,1001,1,4010,2025-11-26 21:00:00,2025-11-27 05:00:00,2025-11-27 10:00:00,12.902318,77.604954,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
28,110023010202500028,202500028,2025-08-20 05:00:00,9310,3010,1002,1,2,102,1004,1,4013,2025-08-18 13:00:00,2025-08-18 19:00:00,2025-08-20 05:00:00,12.969766,77.680305,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
29,110053038202500029,202500029,2025-08-20 07:00:00,9168,3038,1005,1,1,103,1006,2,4011,2025-08-18 09:00:00,2025-08-18 13:00:00,2025-08-20 07:00:00,12.989501,77.541012,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
30,110043030202500030,202500030,2025-04-05 11:00:00,9361,3030,1004,1,2,102,1003,1,4010,2025-04-05 01:00:00,2025-04-05 10:00:00,2025-04-05 11:00:00,12.870022,77.613743,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
31,110033024202500031,202500031,2025-06-20 07:00:00,9275,3024,1003,1,1,101,1001,1,4015,2025-06-19 22:00:00,2025-06-19 23:00:00,2025-06-20 07:00:00,13.07444,77.591488,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
32,110023012202600032,202600032,2026-01-20 19:00:00,9345,3012,1002,1,2,102,1003,1,4013,2026-01-19 15:00:00,2026-01-19 22:00:00,2026-01-20 19:00:00,13.00154,77.728729,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
33,110013003202500033,202500033,2025-12-02 19:00:00,9238,3003,1001,1,2,103,1006,2,4005,2025-12-01 12:00:00,2025-12-01 14:00:00,2025-12-02 19:00:00,12.86209,77.736513,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
34,110033018202500034,202500034,2025-07-03 02:00:00,9190,3018,1003,1,2,101,1001,3,4011,2025-07-02 06:00:00,2025-07-02 08:00:00,2025-07-03 02:00:00,13.088318,77.546866,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
35,110043032202500035,202500035,2025-05-03 22:00:00,9061,3032,1004,1,1,102,1004,2,4009,2025-05-03 08:00:00,2025-05-03 17:00:00,2025-05-03 22:00:00,13.081627,77.525198,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
36,110043026202500036,202500036,2025-11-17 14:00:00,9336,3026,1004,1,2,103,1005,1,4004,2025-11-16 20:00:00,2025-11-17 01:00:00,2025-11-17 14:00:00,12.950314,77.507769,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
37,110033024202600037,202600037,2026-02-07 00:00:00,9134,3024,1003,1,2,104,1007,3,4014,2026-02-05 03:00:00,2026-02-05 05:00:00,2026-02-07 00:00:00,13.070097,77.473169,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
38,110033021202600038,202600038,2026-02-28 03:00:00,9041,3021,1003,1,2,103,1005,1,4007,2026-02-27 15:00:00,2026-02-28 01:00:00,2026-02-28 03:00:00,12.875339,77.522942,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
39,110033021202500039,202500039,2025-04-06 12:00:00,9198,3021,1003,1,2,104,1007,1,4009,2025-04-04 18:00:00,2025-04-05 05:00:00,2025-04-06 12:00:00,12.964326,77.50088,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
40,110033020202500040,202500040,2025-06-18 14:00:00,9320,3020,1003,1,2,101,1002,3,4001,2025-06-18 00:00:00,2025-06-18 11:00:00,2025-06-18 14:00:00,12.935701,77.638333,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
41,110013008202500041,202500041,2025-02-14 19:00:00,9212,3008,1001,1,2,102,1004,2,4012,2025-02-13 07:00:00,2025-02-13 17:00:00,2025-02-14 19:00:00,13.091478,77.635276,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
42,110053037202500042,202500042,2025-09-27 04:00:00,9171,3037,1005,1,2,104,1007,2,4004,2025-09-25 19:00:00,2025-09-26 04:00:00,2025-09-27 04:00:00,12.985454,77.666367,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
43,110023009202500043,202500043,2025-08-19 19:00:00,9118,3009,1002,1,1,104,1007,3,4011,2025-08-18 22:00:00,2025-08-19 07:00:00,2025-08-19 19:00:00,13.003257,77.73928,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
44,110043030202500044,202500044,2025-12-29 01:00:00,9017,3030,1004,1,1,101,1001,1,4006,2025-12-27 19:00:00,2025-12-27 23:00:00,2025-12-29 01:00:00,12.87609,77.737504,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
45,110053036202600045,202600045,2026-01-01 12:00:00,9097,3036,1005,1,1,103,1006,2,4010,2025-12-31 05:00:00,2025-12-31 14:00:00,2026-01-01 12:00:00,12.982301,77.490411,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
46,110013005202500046,202500046,2025-01-10 04:00:00,9230,3005,1001,1,2,102,1003,1,4001,2025-01-08 14:00:00,2025-01-08 17:00:00,2025-01-10 04:00:00,12.915534,77.478365,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
47,110053033202500047,202500047,2025-02-13 18:00:00,9008,3033,1005,1,2,103,1005,2,4010,2025-02-13 02:00:00,2025-02-13 04:00:00,2025-02-13 18:00:00,13.040434,77.590656,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
48,110013003202500048,202500048,2025-03-12 09:00:00,9091,3003,1001,1,2,101,1001,3,4011,2025-03-11 16:00:00,2025-03-12 04:00:00,2025-03-12 09:00:00,12.828831,77.5583,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
49,110043026202500049,202500049,2025-08-21 16:00:00,9127,3026,1004,1,1,104,1007,3,4001,2025-08-20 08:00:00,2025-08-20 16:00:00,2025-08-21 16:00:00,12.831393,77.663619,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
50,110043027202500050,202500050,2025-10-13 14:00:00,9318,3027,1004,1,2,104,1007,2,4002,2025-10-12 04:00:00,2025-10-12 08:00:00,2025-10-13 14:00:00,12.88296,77.554762,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
51,110053035202500051,202500051,2025-11-15 07:00:00,9329,3035,1005,1,2,101,1002,1,4010,2025-11-14 12:00:00,2025-11-14 22:00:00,2025-11-15 07:00:00,12.968638,77.603264,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
52,110053037202600052,202600052,2026-01-29 17:00:00,9335,3037,1005,1,1,103,1006,3,4003,2026-01-28 20:00:00,2026-01-29 07:00:00,2026-01-29 17:00:00,12.985147,77.516633,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
53,110013001202500053,202500053,2025-07-29 12:00:00,9067,3001,1001,1,1,102,1003,1,4003,2025-07-28 18:00:00,2025-07-28 21:00:00,2025-07-29 12:00:00,12.864327,77.660061,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
54,110053035202600054,202600054,2026-01-07 13:00:00,9176,3035,1005,1,1,103,1005,2,4001,2026-01-05 18:00:00,2026-01-05 20:00:00,2026-01-07 13:00:00,13.018776,77.501565,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
55,110043030202500055,202500055,2025-12-20 08:00:00,9217,3030,1004,1,2,103,1006,3,4007,2025-12-18 12:00:00,2025-12-18 18:00:00,2025-12-20 08:00:00,12.927514,77.579543,Two persons riding a black motorcycle snatched a gold chain from a pedestrian near the bus stand and fled.
56,110043031202500056,202500056,2025-05-13 16:00:00,9237,3031,1004,1,1,101,1001,1,4009,2025-05-12 14:00:00,2025-05-12 20:00:00,2025-05-13 16:00:00,12.826836,77.592629,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
57,110023014202500057,202500057,2025-09-04 10:00:00,9121,3014,1002,1,1,101,1002,1,4009,2025-09-03 20:00:00,2025-09-03 21:00:00,2025-09-04 10:00:00,13.112458,77.512706,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
58,110043027202500058,202500058,2025-11-03 11:00:00,9070,3027,1004,1,1,103,1005,2,4005,2025-11-03 02:00:00,2025-11-03 12:00:00,2025-11-03 11:00:00,13.057958,77.514785,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
59,110013004202500059,202500059,2025-07-22 19:00:00,9195,3004,1001,1,1,101,1002,2,4007,2025-07-21 21:00:00,2025-07-22 07:00:00,2025-07-22 19:00:00,12.896779,77.494814,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
60,110013005202500060,202500060,2025-05-01 11:00:00,9136,3005,1001,1,1,102,1003,3,4011,2025-05-01 07:00:00,2025-05-01 08:00:00,2025-05-01 11:00:00,12.891585,77.587514,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
61,110043025202600061,202600061,2026-01-04 19:00:00,9300,3025,1004,1,2,103,1006,2,4012,2026-01-04 17:00:00,2026-01-05 02:00:00,2026-01-04 19:00:00,13.106727,77.523446,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
62,110023012202500062,202500062,2025-03-14 13:00:00,9150,3012,1002,1,2,103,1006,1,4012,2025-03-13 09:00:00,2025-03-13 13:00:00,2025-03-14 13:00:00,13.011931,77.472679,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
63,110043028202600063,202600063,2026-01-15 03:00:00,9296,3028,1004,1,2,102,1004,1,4015,2026-01-13 05:00:00,2026-01-13 13:00:00,2026-01-15 03:00:00,12.979462,77.645002,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
64,110013006202500064,202500064,2025-09-19 12:00:00,9139,3006,1001,1,2,103,1006,2,4011,2025-09-18 02:00:00,2025-09-18 09:00:00,2025-09-19 12:00:00,13.023748,77.531052,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
65,110043032202600065,202600065,2026-02-13 01:00:00,9009,3032,1004,1,1,101,1002,2,4010,2026-02-11 20:00:00,2026-02-12 03:00:00,2026-02-13 01:00:00,13.035667,77.60127,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
66,110043032202500066,202500066,2025-04-14 09:00:00,9235,3032,1004,1,2,102,1003,3,4007,2025-04-12 18:00:00,2025-04-13 01:00:00,2025-04-14 09:00:00,12.913365,77.715919,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
67,110053039202500067,202500067,2025-05-24 01:00:00,9192,3039,1005,1,2,103,1006,3,4002,2025-05-22 10:00:00,2025-05-22 15:00:00,2025-05-24 01:00:00,12.885392,77.68206,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
68,110033021202500068,202500068,2025-11-26 08:00:00,9011,3021,1003,1,2,104,1007,3,4005,2025-11-25 18:00:00,2025-11-25 22:00:00,2025-11-26 08:00:00,12.846037,77.64985,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
69,110013003202600069,202600069,2026-01-30 23:00:00,9207,3003,1001,1,2,104,1007,3,4005,2026-01-30 14:00:00,2026-01-30 20:00:00,2026-01-30 23:00:00,13.090052,77.466961,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
70,110023011202500070,202500070,2025-09-19 00:00:00,9232,3011,1002,1,1,101,1002,2,4007,2025-09-17 22:00:00,2025-09-18 02:00:00,2025-09-19 00:00:00,12.940366,77.607475,A group of individuals assaulted the victim following a minor road rage incident causing grievous injuries.
71,110023010202500071,202500071,2025-08-25 06:00:00,9284,3010,1002,1,1,101,1002,1,4008,2025-08-24 02:00:00,2025-08-24 14:00:00,2025-08-25 06:00:00,12.894402,77.511079,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
72,110013006202500072,202500072,2025-10-01 07:00:00,9067,3006,1001,1,2,103,1006,1,4003,2025-09-30 11:00:00,2025-09-30 19:00:00,2025-10-01 07:00:00,13.116746,77.61644,"Accused intercepted a commercial vehicle on the highway, threatened the driver with sharp weapons, and looted goods."
73,110013008202500073,202500073,2025-10-01 10:00:00,9298,3008,1001,1,1,102,1003,3,4012,2025-09-29 16:00:00,2025-09-29 23:00:00,2025-10-01 10:00:00,12.90004,77.564491,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
74,110053039202500074,202500074,2025-09-20 05:00:00,9150,3039,1005,1,2,104,1007,3,4007,2025-09-18 06:00:00,2025-09-18 09:00:00,2025-09-20 05:00:00,13.026562,77.576435,Unknown miscreants broke open the lock of the house during late night hours and stole gold ornaments and cash.
75,110043028202500075,202500075,2025-10-22 12:00:00,9112,3028,1004,1,1,102,1004,2,4008,2025-10-20 23:00:00,2025-10-21 03:00:00,2025-10-22 12:00:00,12.906554,77.579752,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
76,110033020202500076,202500076,2025-10-12 11:00:00,9071,3020,1003,1,1,101,1002,3,4005,2025-10-11 07:00:00,2025-10-11 11:00:00,2025-10-12 11:00:00,12.867931,77.545305,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
77,110023012202500077,202500077,2025-07-07 13:00:00,9055,3012,1002,1,1,103,1005,1,4014,2025-07-06 04:00:00,2025-07-06 16:00:00,2025-07-07 13:00:00,13.077032,77.686909,Complainant reported unauthorized debit transactions from bank account following a fake KYC verification call.
