CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,2,2026-03-29 00:00:00,C,9052
2,5,2026-03-07 00:00:00,C,9383
3,6,2025-08-19 00:00:00,A,9344
4,11,2025-11-13 00:00:00,A,9164
5,12,2026-01-22 00:00:00,A,9358
6,13,2025-07-26 00:00:00,A,9083
7,14,2026-03-26 00:00:00,B,9015
8,19,2025-10-10 00:00:00,C,9118
9,22,2025-05-07 00:00:00,A,9300
10,23,2025-12-31 00:00:00,A,9371
11,26,2025-08-22 00:00:00,B,9360
12,29,2025-10-08 00:00:00,C,9168
13,31,2025-07-21 00:00:00,A,9275
14,33,2026-02-05 00:00:00,A,9238
15,34,2025-09-13 00:00:00,A,9190
16,36,2026-01-29 00:00:00,A,9336
17,38,2026-05-11 00:00:00,A,9041
18,43,2025-10-06 00:00:00,B,9118
19,44,2026-01-24 00:00:00,A,9017
20,48,2025-05-17 00:00:00,C,9091
21,49,2025-11-13 00:00:00,A,9127
22,52,2026-03-15 00:00:00,A,9335
23,55,2026-01-14 00:00:00,A,9217
24,56,2025-08-05 00:00:00,A,9237
25,57,2025-10-13 00:00:00,A,9121
26,58,2025-12-12 00:00:00,A,9070
27,64,2025-11-09 00:00:00,B,9139
28,65,2026-04-12 00:00:00,A,9009
29,66,2025-05-18 00:00:00,A,9235
30,67,2025-07-10 00:00:00,B,9192
31,68,2026-01-11 00:00:00,B,9011
32,77,2025-09-11 00:00:00,B,9055
33,80,2026-04-11 00:00:00,B,9021
34,81,2026-02-18 00:00:00,A,9120
35,82,2025-02-28 00:00:00,A,9064
36,84,2025-09-12 00:00:00,C,9276
37,85,2025-08-02 00:00:00,A,9317
38,86,2025-11-15 00:00:00,A,9367
39,88,2026-03-20 00:00:00,C,9228
40,90,2025-06-26 00:00:00,A,9065
41,91,2025-10-31 00:00:00,A,9205
42,96,2025-03-08 00:00:00,A,9217
43,100,2025-12-03 00:00:00,A,9163
44,102,2025-11-18 00:00:00,A,9191
45,108,2025-03-17 00:00:00,A,9235
46,113,2026-06-01 00:00:00,A,9349
47,115,2026-06-02 00:00:00,A,9103
48,116,2025-10-25 00:00:00,A,9319
49,120,2025-03-22 00:00:00,B,9050
50,123,2025-08-26 00:00:00,A,9085
51,125,2025-03-20 00:00:00,A,9388
52,127,2025-12-28 00:00:00,B,9141
53,128,2025-12-29 00:00:00,B,9345
54,129,2025-06-14 00:00:00,A,9151
55,133,2025-11-19 00:00:00,C,9382
56,134,2025-12-13 00:00:00,A,9363
57,136,2025-06-03 00:00:00,C,9328
58,137,2025-05-21 00:00:00,A,9209
59,140,2025-09-03 00:00:00,B,9161
60,144,2026-01-22 00:00:00,A,9396
61,147,2026-03-30 00:00:00,A,9101
62,148,2025-12-06 00:00:00,A,9271
63,151,2025-12-17 00:00:00,A,9054
64,152,2025-08-24 00:00:00,B,9384
65,155,2025-07-22 00:00:00,A,9111
66,156,2026-06-05 00:00:00,A,9336
67,159,2025-11-16 00:00:00,C,9330
68,161,2025-05-17 00:00:00,B,9354
69,163,2025-06-28 00:00:00,B,9293
70,166,2025-05-19 00:00:00,A,9378
71,168,2025-07-11 00:00:00,A,9116
72,170,2025-05-20 00:00:00,A,9194
73,171,2025-11-26 00:00:00,C,9178
74,177,2025-04-26 00:00:00,A,9177
75,179,2025-10-28 00:00:00,A,9186
76,181,2026-02-14 00:00:00,A,9272
77,182,2026-04-11 00:00:00,A,9260
78,183,2026-03-06 00:00:00,A,9251
79,186,2025-03-23 00:00:00,B,9383
80,187,2025-09-07 00:00:00,A,9121
81,188,2025-05-30 00:00:00,A,9041
82,190,2025-09-02 00:00:00,B,9346
83,192,2026-04-25 00:00:00,A,9361
84,193,2026-03-12 00:00:00,B,9356
85,194,2025-08-31 00:00:00,A,9315
86,198,2025-04-17 00:00:00,A,9101
87,199,2026-01-11 00:00:00,C,9347
88,201,2025-02-25 00:00:00,A,9371
89,202,2025-03-30 00:00:00,A,9345
90,203,2026-01-16 00:00:00,A,9265
91,204,2025-11-25 00:00:00,A,9341
92,206,2025-02-10 00:00:00,C,9106
93,207,2026-01-24 00:00:00,A,9229
94,209,2025-10-25 00:00:00,A,9123
95,212,2025-07-30 00:00:00,A,9151
96,214,2025-07-25 00:00:00,A,9192
97,219,2025-10-01 00:00:00,A,9108
98,221,2026-04-07 00:00:00,A,9063
99,226,2025-05-08 00:00:00,A,9187
100,227,2025-11-07 00:00:00,A,9220
101,228,2026-02-15 00:00:00,A,9045
102,229,2025-08-30 00:00:00,B,9010
103,230,2025-10-06 00:00:00,B,9082
104,232,2026-02-27 00:00:00,A,9277
105,235,2025-08-14 00:00:00,A,9372
106,236,2025-11-21 00:00:00,A,9398
107,237,2026-02-07 00:00:00,A,9314
108,239,2025-12-21 00:00:00,A,9079
109,242,2026-05-19 00:00:00,A,9300
110,244,2026-01-26 00:00:00,A,9261
111,249,2026-02-06 00:00:00,A,9269
112,252,2026-02-19 00:00:00,A,9263
113,253,2025-10-12 00:00:00,B,9099
114,254,2025-03-18 00:00:00,A,9030
115,256,2025-12-27 00:00:00,A,9015
116,264,2026-01-18 00:00:00,A,9185
117,268,2025-11-24 00:00:00,A,9271
118,272,2025-08-19 00:00:00,B,9266
119,274,2025-09-17 00:00:00,A,9064
120,277,2025-12-11 00:00:00,A,9068
121,283,2025-11-04 00:00:00,A,9136
122,287,2026-04-26 00:00:00,A,9016
123,290,2025-09-03 00:00:00,A,9400
124,293,2025-03-13 00:00:00,A,9168
